PID,Displayname,Tag1,Tag2,Phone,Story
1010012800010000,食品,餐饮,零食,,
1010012800010001,食品,餐饮,零食,,
1010012800010002,茶叶,其他,保健品,,
1010012800010003,MILAN GOLD,餐饮,零食,,
1010012800010004,特百惠,儿童母婴,母婴用品,,特百惠公司（Tupperware Brands Corporation），塑料保鲜容器厂家，总部在美国。目前，特百惠公司已经在全球设有70多家分公司，并在美国、法国、澳大利亚、日本、韩国、中国等15个国家设有分厂。
1010012800010005,当代药房,其他,保健品,,
1010012800010006,同仁堂,其他,保健品,,同仁堂，是提起中药，许多人都不约而同会想到三个字。同仁堂（原名同仁堂药室，同仁堂药铺）是乐显扬创建于中国清朝康熙八年（1669年）的一家药店。
1010012800010007,VICHY,个护化妆,个人护理,,薇姿（VICHY）是全球专业敏感肌护肤领先品牌。欧莱雅集团旗下品牌，法国三大药妆品牌之一，薇姿一直关注于美丽，并倡导健康引导美丽，且不断探索创新。针对不同类型的皮肤，提供具有不同特点的系列产品，以达到绝佳效果。
1010012800010008,优色林,个护化妆,个人护理,,1911年，优色林作为医学护肤品正式由德国拜尔斯道夫集团（Beiersdorf AG.）引进发售。
1010012800010009,雅漾,个护化妆,个人护理,,雅漾源于法国西南地区塞文山脉中的一个古老温情的小镇。它海拔350米，坐落于欧伯山谷之中， L'Espinouse 和 L'Escandorgue两山中间，距地中海80公里处。1736年时，由一匹马发现了Avène活泉水的特性。
1010012800010010,生命阳光,个护化妆,个人护理,,
1010012800010011,同仁堂,其他,保健品,,同仁堂，是提起中药，许多人都不约而同会想到三个字。同仁堂（原名同仁堂药室，同仁堂药铺）是乐显扬创建于中国清朝康熙八年（1669年）的一家药店。
1010012800010012,集品堂,其他,保健品,,成立于1999年的集品堂食品有限公司，是一家专业经营高档滋补食材的运营商。秉承“营养源自天然”的健康滋补理念和“料选精品，天然纯正”的运营标准，向消费者推广正统的食补文化并提供优质的滋补食材。
1010012800010013,启泰药业,其他,保健品,,
1010012800010014,食品,餐饮,零食,,
1010012800010015,家庭日常用品,儿童母婴,儿童母婴,,
1010012800010016,优之良品,餐饮,零食,,大型零食批发及零售连锁店。主要售卖小食、糖果、凉果等。现时优之良品在亚洲、欧洲及美洲均设有其分店。在2007年1月，优之良品有700多名员工，在海外约有150间加盟店。
1010012800010017,宝明堂,其他,保健品,,
1010012800010018,上品堂,其他,保健品,,上品堂是1998年推出的海参产品品牌。品牌涵盖“纯干海参”、“即食海参”、“鲜食海参”等多样产品。前世界足球先生、欧洲足球先生路易斯菲戈正式成为“上品堂”海参的形象代言人。
1010012800010019,食尚森活,餐饮,零食,,
1010012800010020,林银杏,餐饮,零食,,
1010012800010021,Leonidas Kestekides,餐饮,零食,,
1010012800010022,稻香村,餐饮,零食,01062512088,北京稻香村始建于1895年（清光绪21年），位于前门外观音寺，南店北开，前店后厂，很有特色，（时称“稻香村南货店”），是京城生产经营南味食品的第一家，1926年被迫关张，1984 年年初复业，至今有30多家直营店和100多家加盟店、一个食品配送中心、一个14万平方米的中心工厂和一个4万平方米的原料加工基地的规模，生产中西糕点、熟食制品、速冻食品、休闲小食品等十二个系列的400多个品种，年销售收入达40亿元。
1010012800010023,贝印,个护化妆,个人护理,,"贝印-在日本已拥有近百年的悠久历史,作为国际知名品牌,其商品分为：高级专业用剪（分高档成衣剪、理发剪两种）、剃刀（男、女）、美妆用品、家庭用品、医疗手术刀（尖端科技领域中）,凭借着优良的品质,销售网络遍及世界许多国家。占有一定的市场份额,并得到广大消费者的认可,拥有强大的市场竞争力。 中国是目前世界上最大的消费市场之一,随着中国市场的不断扩大,贝印于2000年4月成立了上海贝印贸易有限公司,专门负责中国市场的开拓与销售。 贝印的开拓和深入人心将使其扎根并活跃于中国市场。"
1010012800010024,DIAN,其他,家纺,,
1010012800010025,依诗家,其他,家纺,,依诗家是金号集团为实现综合家纺旗舰企业的战略目标而发展的高端品牌。
1010012800010026,康维他,其他,保健品,01062696014,公司成立之初，决计努力于“绝不消费本人没有百分之百自信心的产品”，这个目标 不断坚持至今。叁十多年以来，康维他把留意力依然放在提供一系列以质量、平安和有效而著称于世的保健产品。经过这些年的理论，我们对质量的承诺不断是实真实在的。今天我们一如既往直接从世界上最清洁的雨林和新西兰牧场收获高质量的自然原料。我们在消费的各个阶段运\\\用先进的技术。确保消费全过程坚持自然精髓的均衡。最终的结果是，您可放心用我们老实消费的一系列产品，满足您的需求。
1010012800010027,极草,其他,保健品,,极草·5X冬虫夏草系列产品是由青海春天药用资源科技利用有限公司按照创立的极草5X冬虫夏草体系，对冬虫夏草物理加工领域的最高科技成果，从而开启了冬虫夏草高效利用的新时代。2010年12月7日，极草的标准经国家批准成为国家冬虫夏草行业标准，《冬虫夏草中药饮片炮制规范》颁布。
1010012800010028,脉葆野山菌,餐饮,正餐,01088865728,
1010012800010029,私房小厨,餐饮,正餐,,1989年，以一台铁车伴随叫卖声走遍宝岛的大街小巷·.....今天，在台湾、大陆、香港、日本、欧美等地或华人超市皆设有“私房小厨”直营店及经销商、临时展售点，主要分布在各大量贩店、百货商店街等专卖店。
1010012800010030,烟酒茶叶,其他,保健品,,
1010012800010031,季诺意式休闲餐厅,餐饮,正餐,01062628707,
