PID,Display_Name,Tag1,Tag2,Phone,Story
1010013100010000,双安商场精品超市,餐饮,超市,,
1010013100010001,晓酵素,其他,保健品,,
1010013100010002,美优酵素,其他,保健品,,
1010013100010003,新西兰十一坊,其他,保健品,,
1010013100010004,旭福,其他,保健品,,
1010013100010005,位元堂,其他,保健品,,
1010013100010006,同仁堂,其他,保健品,,
1010013100010007,精品烟酒,其他,烟酒,,
1010013100010008,Leonidas,餐饮,零食,,
1010013100010009,极草,其他,保健品,,
1010013100010010,果园老农,餐饮,零食,,
1010013100010011,上品堂,其他,保健品,,
1010013100010012,集品堂,其他,保健品,,
1010013100010013,Bread Talk,餐饮,正餐,010-62198773,
1010013100010014,新快,餐饮,零食,,
1010013100020000,BOSS HUGO BOSS,服装,男装,010-62168285,
1010013100020001,DUNHILL,服装,男装,010-82148269,
1010013100020002,ARMANI,服装,内衣,,
1010013100020003,Zegna Sport,服装,男装,,
1010013100020004,Pandora,其他,珠宝,010-62166852,
1010013100020005,周大福,其他,珠宝,010-62167968,
1010013100020006,万宝龙,其他,珠宝,010-82148000?82148486,
1010013100020007,LONGINES,其他,钟表,010-62138820,
1010013100020008,TAGHEUER,其他,钟表,,
1010013100020009,亨得利,其他,钟表,,
1010013100020010,RADO,其他,钟表,,
1010013100020011,周大福,其他,珠宝,010-62167968,
1010013100020012,谢瑞麟,其他,珠宝,010-82148141,
1010013100020013,周生生,其他,珠宝,,
1010013100020014,金至尊,其他,珠宝,,
1010013100020015,六福珠宝,其他,珠宝,010-62160828,
1010013100020016,Brooks Brothers,服装,男装,,
1010013100020017,Coach,服装,箱包,010-62142385,
1010013100020018,SK-II,个护化妆,化妆品,,
1010013100020019,雪花秀,个护化妆,化妆品,010-62166320,
1010013100020020,Swissweda,个护化妆,化妆品,010-62111147,
1010013100020021,COSME DECORTE,个护化妆,化妆品,,
1010013100020022,GUERLAIN,个护化妆,化妆品,010-62135127,
1010013100020023,碧欧泉,个护化妆,化妆品,010-62193070,
1010013100020024,CHANEL,个护化妆,化妆品,010-62137176,
1010013100020025,CD,个护化妆,化妆品,,
1010013100020026,Clinique,个护化妆,化妆品,010-82148129,
1010013100020027,GIVENCHY,个护化妆,化妆品,010-62165991,
1010013100020028,LANCOME,个护化妆,化妆品,010-62131503,
1010013100020029,ESTEE LAUDER,个护化妆,化妆品,010-82148488,
1010013100020030,La Mer,个护化妆,化妆品,,
1010013100020031,Sisley,个护化妆,化妆品,,
1010013100020032,HELENA RUBINSTEIN,个护化妆,化妆品,,
1010013100020033,植村秀,个护化妆,化妆品,010-82148545,
1010013100020034,Bobbi Brown,个护化妆,化妆品,,
1010013100020035,CLARINS,个护化妆,化妆品,010-62192951,
1010013100020036,Make Up For Ever,个护化妆,化妆品,010-82148000,
1010013100020037,资生堂,个护化妆,化妆品,010-82148017,
1010013100020038,OMEGA,其他,钟表,,
1010013100020039,亨得利,其他,钟表,,
1010013100020040,SWAROVSKI,其他,工艺品,010-82148685,
1010013100020041,琉璃工房,其他,工艺品,,
1010013100020042,LANCEL,服装,女装,010-62155348,
1010013100020043,FANCL无添加,个护化妆,化妆品,010-62116116,
1010013100020044,STENDERS,个护化妆,化妆品,010-62113123,
1010013100020045,佰草集,个护化妆,化妆品,62155511-2174,
1010013100020046,Kiehl's,个护化妆,化妆品,010-62156821,
1010013100020047,L'OCCITANE,个护化妆,化妆品,,
1010013100020048,OLAY,个护化妆,化妆品,,
1010013100020049,LOREAL,服装,女装,010-62133998,
1010013100020050,origins,个护化妆,化妆品,010-62129152,
1010013100020051,JurLique,个护化妆,化妆品,,
1010013100020052,LANEIGE,个护化妆,化妆品,010-62150856,
1010013100020053,KOSE,个护化妆,化妆品,,
1010013100020054,H2O+,个护化妆,化妆品,,
1010013100020055,瑞恩,其他,珠宝,,
1010013100020056,戴梦得,其他,珠宝,,
1010013100020057,周大生,其他,珠宝,010-62166778,
1010013100020058,LARWINER,其他,珠宝,,
1010013100020059,BLLYN,其他,珠宝,,
1010013100020060,东赢日盛,其他,珠宝,,
1010013100020061,尚氏珠宝,其他,珠宝,,
1010013100020062,AUPRES,个护化妆,化妆品,,
1010013100020063,chloe,个护化妆,化妆品,,
1010013100020064,金象珠宝,其他,珠宝,010-62111878,
1010013100020065,BVLGARI,个护化妆,珠宝,,
1010013100020066,jaff,其他,女装,,
1010013100020067,千禧之星,其他,珠宝,010-82148147,
1010013100020068,双安黄金,其他,珠宝,,
1010013100020069,WEEKEND by MaxMara,个护化妆,化妆品,,
1010013100020070,雅阁诗丹,个护化妆,化妆品,,
1010013100020071,Autason,服装,男装,,
1010013100020072,UGG,服装,鞋,,
1010013100020073,RIMOWA,服装,箱包,010-62196675,
1010013100020074,新秀丽,服装,箱包,010-82148660,
1010013100020075,TUMI,服装,箱包,010-82148605,
1010013100020076,PRADA,服装,女装,,
1010013100020077,Versace,其他,奢侈品,,
1010013100020078,Nina Ricci,个护化妆,化妆品,,
1010013100020079,Burberry,其他,奢侈品,,
1010013100020080,ENZO,其他,珠宝,010-62144780,
1010013100020081,恒昌珠宝,其他,珠宝,010-56241299,
1010013100020082,和玉缘,其他,珠宝,,
1010013100020083,紫云珠宝,其他,珠宝,,
1010013100020084,展台,,,,
1010013100020085,ATM,,,,
1010013100020086,DIOR BEAUTY,其他,化妆品,010-62150510,
1010013100030000,Marisfrolg,服装,女装,,
1010013100030001,LANCY FROM25,服装,女装,,
1010013100030002,邢氏,服装,女装,010-62122327,
1010013100030003,LIANG NUO,服装,女装,,
1010013100030004,应大,服装,女装,,
1010013100030005,landi,服装,女装,,
