AiQinHaiGouWuZhongXin,7.085900032,116.443539,39.977432,118.8,-1.7,116.442483,39.9771,154.9,-100.6,,,,
BaiShengGouWuZhongXin(TaiYangGongDian),0.778992273,116.441257,39.977643,2.6,73.8,116.441253,39.977042,2.6,6.7,116.442214,39.977024,84.4,6.3
BeiChenGouWuZhongXin,0.932176014,116.413383,39.999592,23.3,44.2,116.413755,40.000797,157.2,15.3,,,,
BeiChenShiDaiMingMen,1.951281764,116.413642,39.997458,12.3,8.7,116.413642,39.998011,72.5,8.3,,,,
BeiJingapm,8.086162517,116.418961,39.921648,2.094,105.815,116.418965,39.921029,64.986,105.595,,,,
BeiJingBaiHuoDaLou,4.006134825,116.415615,39.920477,2.2,-6.1,116.415696,39.919488,2.9,-120.2,116.417205,39.919526,133.3,-120.2
BeiJingYiDiGang,25.30015823,116.496978,39.976634,9.7,61.5,116.49775,39.975369,229.6,28,116.498559,39.975373,230,113.4
BiRuShiJieGouWuZhongXin,6.214075023,116.467789,39.97356,6.2,106.6,116.467995,39.974756,125.2,156.2,116.468292,39.973197,6.2,39.2
CuiWeiBaiHuo(MuDanYuanDian),1.479847391,116.372766,39.983431,9.4,51.2,116.372762,39.983003,7.7,3.6,116.375151,39.983473,211.4,53.8
CuiWeiBaiHuo(QingHeDian),1.621064697,116.352504,40.036304,3.5,33.1,116.353101,40.036435,56.6,33.3,116.353393,40.03619,68.7,1.6
CuiWeiBaiHuoCuiWeiDian,5.038022296,116.30934,39.91476,4.4,68,116.310494,39.914594,96.2,50,116.310494,39.914234,96,5.8
CuiWeiGuangChang,6.424462193,116.311305,39.914116,8.2,22.2,116.312639,39.914144,130.4,22.2,,,,
DangDaiShangCheng(DingChengDian),1.972273391,116.202384,39.931785,1.9,89.5,116.202339,39.931111,1.9,14.5,116.203336,39.931094,88.6,14.5
DangDaiShangChengZhongGuanCunDian,22.49624165,116.327125,39.976685,18.4,110.9,116.328194,39.976143,115.9,13.5,,,,
DongAnShiChang,0.4862033,116.417985,39.92011,0,-34.5,116.418393,39.919803,33.8,-0.7,116.417985,39.919813,33.4,-34.6
DongFangXinTianDi,5.511326188,116.420616,39.915265,204,12.4,116.423607,39.915922,460.1,81.3,,,,
FangHengGouWuZhongXin,39.08333592,116.487893,39.995303,5.6,52,116.490152,39.997341,224,42.8,116.490372,39.997144,220,14.3
FengHuangHui,7.505514618,116.462902,39.968357,7.4,106,116.464563,39.96871,133.6,25.5,,,,
FengLanGuoJiGouWuZhongXin,7.800687854,116.363186,39.959786,7.2,76.8,116.364093,39.958296,175.9,142,,,,
FengLianGuangChang,10.35536925,116.44241,39.92896,6.6,125.2,116.442374,39.928355,14.7,45.9,116.443951,39.928867,155.2,125.2
FuLiGuangChang,17.41347335,116.467022,39.89954,3.7,-6.9,116.467444,39.902826,328.8,-35.5,,,,
GuoRuiGouWuZhongXin,6.902531275,116.426835,39.905334,9.2,306.3,116.425753,39.905261,11.4,203.7,116.426876,39.903611,204.5,305.1
HanGuangBaiHuo,4.260614574,116.382366,39.915842,115.2,63.8,116.381117,39.915351,2.1,7.6,,,,
HengJiYanSha,2.723021718,116.435236,39.913826,16.5,168.2,116.435263,39.912374,178.7,168.7,116.434095,39.91238,178.2,70.3
HuaLianShangSha(GuangAnMenDian),32.99253369,116.343918,39.895178,3.2,97.7,116.344534,39.894864,94.3,3.5,,,,
HuaLianShangSha(HuiLongGuanDian),3.529909991,116.325065,40.082812,7.5,131.5,116.326884,40.083178,167.7,132.7,,,,
HuaLianShangShaGongYiXiQiaoDian,10.37971535,116.374991,39.839925,6.5,7.3,116.376396,39.839939,143,7,,,,
HuaLianWanLiuGouWuZhongXin,2.975703175,116.300778,39.979979,16,200.3,116.301811,39.978462,90.7,27.5,,,,
HuaMaoGouWuZhongXin,2.492744748,116.486132,39.915573,45.8,87.9,116.488877,39.915628,279,90,,,,
HuanQiuMaoYiZhongXin,4.509670634,116.417258,39.97183,38.1,24.9,116.416715,39.972925,163.9,79.7,116.417276,39.972936,163.7,28.5
