AiQinHaiGouWuZhongXin/116.443445,39.978452/116.443539,39.977432/116.442596,39.978472/116.442483,39.9771/5.393,-4.738/118.8,-1.7/5.3,-96.9/154.9,-100.6
BaiShengGouWuZhongXin (TaiYangGongDian )/116.441257,39.977643/116.442223,39.977619/116.441253,39.977042/116.442214,39.977024/2.6,73.8/84.4,73.4/2.6,6.7/84.4,6.3
BeiJing apm/116.418961,39.921648/116.417833,39.921226/116.418965,39.921029/116.417838,39.920686/2.094,105.815/25.844,10.817/64.986,105.595/112.266,8.398
BeiChenGouWuZhongXin/116.413383,39.999592/116.413728,39.999502/116.41341,40.000794/116.413755,40.000797/23.3,44.2/12.3,14.6/157.4,44.2/157.2,15.3/
BeiJingBaiHuoDaLou/116.415615,39.920477/116.415696,39.919488/116.417403,39.920512/116.417205,39.919526/2.2,-6.1/2.9,-120.2/147.9,-20.0/133.3,-120.2/
BeiJingYiDiGang/116.498652,39.976852/116.497327,39.976852/116.499151,39.975144/116.497759,39.974751/59.157,168.88/10.735,66.515/220.138,111.538/220.138,30.835
BiRuShiJieGouWuZhongXin/116.467789,39.97356/116.467995,39.974756/116.468292,39.973197/116.469123,39.973978/6.2,106.6/125.2,156.2/6.2,39.2/113.1,40.2
CuiWeiBaiHuo (MuDanYuanDian )/116.372766,39.983431/116.372762,39.983003/116.375151,39.983473/116.37516,39.983051/9.4,51.2/7.7,3.6/211.4,53.8/211.0,3.6/
CuiWeiBaiHuo (QingHeDian )/116.352504,40.036304/116.352634,40.036021/116.353101,40.036435/116.353393,40.03619/3.5,33.1/3.5,1.7/56.6,33.3/68.7,1.6
CuiWeiBaiHuoCuiWeiDian/116.30934,39.91476/116.309465,39.914244/116.310494,39.914594/116.310494,39.914234/4.4,68.0/18.0,5.5/96.2,50.0/96.0,5.8
CuiWeiGuangChang/116.311314,39.914701/116.311305,39.914116/116.31254,39.914707/116.312639,39.914144/8.0,86.6/8.2,22.2/130.2,86.6/130.4,22.2
HanGuangBaiHuo/116.381126,39.915832/116.382366,39.915842/116.381117,39.915351/116.382397,39.915354/2.0,63.8/115.2,63.8/2.1,7.6/120.2,7.0
HuaLianWanLiuGouWuZhongXin/116.300778,39.979979/116.301524,39.980048/116.30094,39.978348/116.301811,39.978462/16.0,200.3/83.1,206.3/10.0,16.8/90.7,27.5
FengLanGuoJiGouWuZhongXin/116.363186,39.959786/116.362485,39.959475/116.364093,39.958296/116.362903,39.958358/7.2,76.8/16.0,10.9/175.9,142.0/165.3,32.4
HuaMaoGouWuZhongXin/116.486132,39.915573/116.48584,39.914874/116.488877,39.915628/116.488576,39.914926/45.8,87.9/13.8,10.7/279.0,90.0/254.5,10.1
XinHuaBaiHuo/116.37741,39.952979/116.378003,39.953121/116.37714,39.953944/116.377922,39.954054/3.7,76.0/12.6,5.7/111.5,76.0/126.0,23.1
GuoRuiGouWuZhongXin/116.426835,39.905334/116.425753,39.905261/116.426876,39.903611/116.425798,39.903649/9.2,306.3/11.4,203.7/204.5,305.1/201.1,202.2
HuaLianShangShaGongYiXiQiaoDian/116.375018,39.840514/116.374991,39.839925/116.376486,39.840535/116.376396,39.839939/6.7,77.1/6.5,7.3/155.6,77.7/143.0,7.0
HuanQiuMaoYiZhongXin/116.416733,39.971574/116.417258,39.97183/116.416715,39.972925/116.417276,39.972936/6.9,79.5/38.1,24.9/163.9,79.7/163.7,28.5
HuaRunWuCaiCheng/116.338567,40.036114/116.339398,40.035327/116.339941,40.0361/116.339694,40.035289/11.8,161.2/69.0,97.8/125.5,177.8/99.5,84.7
