anchenghutong,安成胡同
anchengjiahutong,安成家胡同
andingmen,安定门
anerhutong,安儿胡同
anfuhutong,安富胡同
anfuhutong,安福胡同
anguohutong,安国胡同
anguosi,安国寺
anletang,安乐堂
anletanghutong,安乐堂胡同
annangong,安南宫
annanying,安南营
anyuanhutong,按院胡同
bahutong,巴胡同
babaohutong,八宝胡同
babaokeng,八宝坑
babaokenghutong,八宝坑胡同
babaolou,八宝楼
babaolouhutong,八宝楼胡同
babukou,八步口
babukouhutong,八步口胡同
badarenhutong,八大人胡同
badarenhutong,巴大人胡同
badaowanhutong,八道湾胡同
baerhutong,巴儿胡同
bajiahutong,巴家胡同
bajiaohutong,八角胡同
bataidarenhutong,把台大人胡同
baidaihutong,百代胡同
baidaimen,百代门
baiheyuan,百合园
baiheyuanhutong,百合园胡同
baihuashenchu,百花深处
baihuayuan,百花园
baimaohutong,白帽胡同
baimicang,白米仓
baimicanghutong,白米仓胡同
baimiaohutong,白庙胡同
baishuhutong,柏树胡同
baishunhutong,百顺胡同
baishunhutonghouhe,百顺胡同后河
baixinghutong,柏兴胡同
baizhifang,白纸坊
baizhifanghutong,白纸坊胡同
baizhifangjie,白纸坊街
baizihutong,百子胡同
baizimen,百子门
banbijie,半壁街
banbuqiao,半步桥
banbuqiaohutong,半步桥胡同
banchanghutong,板肠胡同
banchanghutong,板厂胡同
banchanghutong,板场胡同
bandarenhutong,班大人胡同
banjiehutong,半截胡同
banjinghutong,板井胡同
banqiao,板桥
banqiaohutong,板桥胡同
banshanghutong,颁赏胡同
baoanhutong,保安胡同
baoansi,保安寺
baoansijie,保安寺街
baochaohutong,宝钞胡同
baofanghutong,豹房胡同
baofanghutong,报房胡同
baogaihutong,宝盖胡同
baohuahutong,豹花胡同
baoqinganhutong,宝庆庵胡同
baoqinghutong,保庆胡同
baotouhutong,包头胡同
baoyuhutong,宝玉胡同
baozhuzihutong,宝珠子胡同
baozihutong,宝子胡同
beibaerhutong,北扒儿胡同
beibanbihutong,北半壁胡同
beibanjiehutong,北半截胡同
beibizihutong,北篦子胡同
beibiandanhutong,北扁担胡同
beibingmasi,北兵马司
beibingmasihutong,北兵马司胡同
beicaochang,北草厂
beicaochanghutong,北草厂胡同
beichengbingmasi,北城兵马司
beichenggen,北城根
beidaanhutong,北大安胡同
