ID	name	cnname	enname	type
344	SULTANA	???	SULTANA	其他	
345	英纳格	英纳格	???	其他	
346	Hamilton	???	Hamilton	其他	
347	西铁城	西铁城	???	其他	
340	SWAROVSKI	???	SWAROVSKI	其他	
341	OMEGA	???	OMEGA	其他	
342	MIDO	???	MIDO	其他	
343	TITONI	???	TITONI	其他	
810	陆宝	陆宝	???	其他	
811	Yvonne	???	Yvonne	其他	
812	泰普尔	泰普尔	???	其他	
813	无印工坊	无印工坊	???	其他	
348	爱骏达	爱骏达	???	其他	
349	ERNEST BOREL	???	ERNEST BOREL	其他	
816	Burberry	???	Burberry	其他	
817	UGG	???	UGG	服装	
719	湘怡人	湘怡人	???	餐饮	
718	乐食派麻辣香锅	乐食派麻辣香锅	???	餐饮	
717	渝乡人家	渝乡人家	???	餐饮	
716	汤城小厨	汤城小厨	???	餐饮	
715	乾杯	乾杯	???	餐饮	
714	汉拿山	汉拿山	???	餐饮	
713	鱼匠	鱼匠	???	餐饮	
712	民族印象	民族印象	???	服装	
711	37°Love	???	37°Love	服装	
710	AIBI	???	AIBI	体育	
915	jaff	???	jaff	其他	
914	双安黄金	双安黄金	???	其他	
917	东赢日盛	东赢日盛	???	其他	
1069	ANGELO NARDELLI	???	ANGELO NARDELLI	服装	
736	院落	院落	???	餐饮	
916	尚氏珠宝	尚氏珠宝	???	其他	
1061	三星手机	三星手机	???	电器	
911	芮雅	芮雅	???	服装	
1063	ARISTON	???	ARISTON	电器	
1062	雪莲	雪莲	???	服装	
1065	见现冰激凌	见现冰激凌	???	餐饮	
1064	权味	权味	???	餐饮	
1067	Satchi	???	Satchi	服装	
910	MONET	???	MONET	服装	
-1					
913	WEEKEND by MaxMara	???	WEEKEND by MaxMara	个护化妆	
298	Marisfrolg	???	Marisfrolg	服装	
299	MICHELLE MOISSAC	???	MICHELLE MOISSAC	服装	
296	伟士	伟士	???	体育	
297	Finity	???	Finity	服装	
294	Moreline	???	Moreline	服装	
295	menglong	???	menglong	服装	
292	依瑶	依瑶	???	服装	
293	声雨竹	声雨竹	???	服装	
290	莱姿	莱姿	???	服装	
291	诗影	诗影	???	服装	
591	华润置地展台	华润置地展台	???		
590	甜心甜	甜心甜	???	餐饮	
593	mind bridge	???	mind bridge	服装	
592	新宇亨得利	新宇亨得利	???	其他	
595	THE NORTH FACE	???	THE NORTH FACE	体育	
594	哈根达斯	哈根达斯	???	餐饮	
597	AJIDOU	???	AJIDOU	其他	
596	hotwind	???	hotwind	服装	
195	罗马世家	罗马世家	???	服装	
598	dragon star	???	dragon star		
197	报喜鸟	报喜鸟	???	服装	
196	皮尔卡丹	皮尔卡丹	???	服装	
191	提籁雅	提籁雅	???	其他	
190	依娜	依娜	???	其他	
193	Villeroy&Boch	???	Villeroy&Boch	其他	
192	罗卡芙	罗卡芙	???	其他	
270	treksta	???	treksta	体育	
271	家庭日常用品	家庭日常用品	???	儿童母婴	
272	宝明堂	宝明堂	???	其他	
273	优之良品	优之良品	???	餐饮	
274	生命阳光	生命阳光	???	个护化妆	
275	启泰药业	启泰药业	???	其他	
276	集品堂	集品堂	???	其他	
277	食尚森活	食尚森活	???	餐饮	
278	上品堂	上品堂	???	其他	
279	MARJA KURKI	???	MARJA KURKI	服装	
738	CK Acc.	???	CK Acc.	服装	
524	沃尔玛	沃尔玛	???	超市	
525	茶马云南	茶马云南	???	其他	
526	韩银尚	韩银尚	???	其他	
527	耐尔	耐尔	???	服装	
520	中国黄金	中国黄金	???	其他	
521	汤美希菲格	汤美希菲格	???	服装	
522	levis	???	levis	服装	
523	凹凸	凹凸	???	服装	
1014	Conino Lambozghini	???	Conino Lambozghini	服装	
1015	CHARRIOL	???	CHARRIOL	其他	
599	珍仕菓	珍仕菓	???	餐饮	
1017	爵士丹尼	爵士丹尼	???	服装	
528	ruke house	???	ruke house		
529	头彩	头彩	???	其他	
994	JEEP	???	JEEP	体育	
1013	ICICLE	???	ICICLE	服装	
1025	赛吉琥珀	赛吉琥珀	???	其他	
449	BRAUN	???	BRAUN	电器	
448	靓美婷	靓美婷	???	服装	
443	ZADA NINE	???	ZADA NINE	服装	
442	LAVINIA CLUB	???	LAVINIA CLUB	服装	
441	silhouette labelle	???	silhouette labelle	服装	
440	She's	???	She's	服装	
447	圣大保罗	圣大保罗	???	服装	
446	LANYOUTY	???	LANYOUTY	服装	
445	Lavinia	???	Lavinia	服装	
444	雾道	雾道	???	服装	
108	ECCO	???	ECCO	体育	
109	诺诗兰	诺诗兰	???	体育	
102	李宁	李宁	???	体育	
103	HEATWAVE	???	HEATWAVE	服装	
100	恒源祥	恒源祥	???	服装	
101	Speedo	???	Speedo	体育	
106	Ozark	???	Ozark	体育	
107	探路者	探路者	???	体育	
104	浩沙	浩沙	???	体育	
105	颂拓	颂拓	???	其他	
902	Juicy Couture	???	Juicy Couture	服装	
903	生活素材	生活素材	???	服装	
39	Season Lano	???	Season Lano	服装	
38	虎都	虎都	???	服装	
906	Kipling	???	Kipling	服装	
907	KLOVA	???	KLOVA	服装	
904	美术馆	美术馆	???	服装	
905	米莲诺	米莲诺	???	服装	
33	Jeep	???	Jeep	服装	
32	庄子	庄子	???	服装	
31	靓诺	靓诺	???	服装	
30	哥弟	哥弟	???	服装	
37	Hush Puppies	???	Hush Puppies	服装	
36	BOSSsunwen	???	BOSSsunwen	服装	
35	林宝坚尼	林宝坚尼	???	服装	
34	SATCHI	???	SATCHI	服装	
641	七匹狼	七匹狼	???	服装	
640	芝麻开门	芝麻开门	???	儿童母婴	
643	字里行间	字里行间	???	超市	
642	必胜客	必胜客	???	餐饮	
645	navigare	???	navigare	服装	
644	五彩凤	五彩凤	???	其他	
438	厚木	厚木	???	服装	
439	DELUXE AND VINCI	???	DELUXE AND VINCI	服装	
436	嘉宝	嘉宝	???	服装	
437	mara sakura	???	mara sakura	服装	
434	Gabor	???	Gabor	服装	
435	拿拉贝路丝	拿拉贝路丝	???	服装	
432	trasparenze	???	trasparenze	服装	
433	玫尔美	玫尔美	???	服装	
430	Ara	???	Ara	服装	
431	STACCATO	???	STACCATO	服装	
1002	JNBY by JNBY	???	JNBY by JNBY	服装	
339	贝印	贝印	???	个护化妆	
338	稻香村	稻香村	???	餐饮	
335	极草	极草	???	其他	
334	康维他	康维他	???	其他	
337	Leonidas Kestekides	???	Leonidas Kestekides	餐饮	
336	林银杏	林银杏	???	餐饮	
331	私房小厨	私房小厨	???	餐饮	
330	脉葆野山菌	脉葆野山菌	???	餐饮	
333	依诗家	依诗家	???	其他	
332	DIAN	???	DIAN	其他	
89	面爱面	面爱面	???	餐饮	
744	7-ELEVEN	???	7-ELEVEN	餐饮	
1000	CK Jeans	???	CK Jeans	服装	
745	GOMAX果吧	GOMAX果吧	???	餐饮	
854	IMM	???	IMM	服装	
818	RIMOWA	???	RIMOWA	服装	
856	VESAS Collection	???	VESAS Collection	服装	
857	hosa	???	hosa	体育	
850	JORYA	???	JORYA	服装	
851	LA FEE	???	LA FEE	服装	
852	兰丝绘	兰丝绘	???	服装	
819	Autason	???	Autason	服装	
858	Rapido	???	Rapido	体育	
859	Arena	???	Arena	体育	
1081	SC Fashion	???	SC Fashion	服装	
748	弹丸滋地	弹丸滋地	???	餐饮	
6	TUMI	???	TUMI	服装	
900	伊慧达	伊慧达	???	服装	
848	SCOFIELD	???	SCOFIELD	服装	
99	Byford	???	Byford	服装	
98	La Pagayo	???	La Pagayo	服装	
844	BIRKENSTOCK	???	BIRKENSTOCK	服装	
1085	BUOUBVOV	???	BUOUBVOV	服装	
91	Diss ona	???	Diss ona	服装	
90	荣寿司	荣寿司	???	餐饮	
93	爱思	爱思	???	服装	
92	BRAUN BUFFEL	???	BRAUN BUFFEL	服装	
95	HR	???	HR	个护化妆	
94	Guy Laroche	???	Guy Laroche	服装	
97	珍贝	珍贝	???	服装	
96	诺贝达	诺贝达	???	服装	
814	棉田	棉田	???	其他	
1030	oxette	???	oxette	其他	
815	Nina Ricci	???	Nina Ricci	个护化妆	
1066	ARCTERYX	???	ARCTERYX	体育	
153	海盗船	海盗船	???	服装	
740	鸥美药妆	鸥美药妆	???	个护化妆	
741	Bread n Butter	???	Bread n Butter	服装	
742	LESS IS MORE	???	LESS IS MORE	服装	
743	iSpace	???	iSpace	电器	
559	Dissona	???	Dissona	服装	
558	CHARLES & KEITH	???	CHARLES & KEITH	服装	
746	Mr.Bean	???	Mr.Bean	餐饮	
747	正负二度C环保生活馆	正负二度C环保生活馆	???	其他	
555	西提牛排	西提牛排	???	餐饮	
554	眉州小吃	眉州小吃	???	餐饮	
557	海底捞火锅	海底捞火锅	???	餐饮	
556	爱有梅有	爱有梅有	???	餐饮	
551	银然花	银然花	???	其他	
550	雅山布艺	雅山布艺	???	餐饮	
553	史努比乐园	史努比乐园	???	儿童母婴	
552	陕面居	陕面居	???	餐饮	
238	None	???	None	服装	
239	圣歌鸟	圣歌鸟	???	服装	
234	米皇	米皇	???	服装	
235	兆君	兆君	???	服装	
236	日神	日神	???	服装	
237	帕罗	帕罗	???	服装	
230	金至尊	金至尊	???	其他	
231	周大福	周大福	???	其他	
232	千禧之星	千禧之星	???	其他	
233	JAFF	???	JAFF	其他	
1050	琉璃工房	琉璃工房	???	其他	
1051	双安商场精品超市	双安商场精品超市	???	餐饮	
1052	晓酵素	晓酵素	???	其他	
1053	美优酵素	美优酵素	???	其他	
1054	新西兰十一坊	新西兰十一坊	???	其他	
1055	旭福	旭福	???	其他	
1056	位元堂	位元堂	???	其他	
1057	OLAY	???	OLAY	个护化妆	
1058	SHARP	???	SHARP	电器	
1059	SIEMENS	???	SIEMENS	电器	
992	LACOSTE	???	LACOSTE	服装	
1	Pana Pana	???	Pana Pana	其他	
155	Five Plus	???	Five Plus	服装	
146	海威迩	海威迩	???	儿童母婴	
147	TRIBECA	???	TRIBECA	服装	
144	变形金刚	变形金刚	???	儿童母婴	
619	福奈特	福奈特	???	服装	
142	Canon	???	Canon	电器	
143	Naturino	???	Naturino	服装	
140	DorDor Horse	???	DorDor Horse	服装	
141	联想	联想	???	电器	
612	Lowrys Farm	???	Lowrys Farm	服装	
613	色非	色非	???	服装	
610	彩玉坊	彩玉坊	???	其他	
611	酷玩无限	酷玩无限	???	儿童母婴	
616	港汇优优	港汇优优	???		
617	avvn	???	avvn	服装	
148	Marie n' Mary	???	Marie n' Mary	服装	
149	伊丝艾拉	伊丝艾拉	???	服装	
1007	Pandora	???	Pandora	其他	
912	MARELLA	???	MARELLA	服装	
1006	DUNHILL	???	DUNHILL	服装	
154	imi’s	???	imi’s	服装	
951	GASTONE LUCIOLI	???	GASTONE LUCIOLI	服装	
1005	ARMANI	???	ARMANI	服装	
194	FRANZ	???	FRANZ	其他	
1004	Zegna Sport	???	Zegna Sport	服装	
948	金利来	金利来	???	服装	
949	Adidas	???	Adidas	体育	
946	兄妹猫	兄妹猫	???	服装	
947	MOONSTAR	???	MOONSTAR	服装	
944	canlemon	???	canlemon	服装	
945	惠葆	惠葆	???	服装	
942	兔皇	兔皇	???	服装	
943	蕾沃尔	蕾沃尔	???	服装	
940	展台	展台	???		
941	NATURINA	???	NATURINA	个护化妆	
768	Minnetonka	???	Minnetonka	服装	
689	巴黎春天家具	巴黎春天家具	???	其他	
688	纽约国际儿童俱乐部	纽约国际儿童俱乐部	???	儿童母婴	
685	魔易艺术·家	魔易艺术·家	???	体育	
684	cosadimoda	???	cosadimoda	服装	
687	丽时美发	丽时美发	???	个护化妆	
686	巴贝拉	巴贝拉	???	餐饮	
681	招财猫	招财猫	???		
680	嘟噜岛	嘟噜岛	???	儿童母婴	
683	论道.竹叶青	论道.竹叶青	???	餐饮	
682	麻辣诱惑食品	麻辣诱惑食品	???	餐饮	
458	Fissler	???	Fissler	其他	
459	VICUTU	???	VICUTU	服装	
133	DANIEL HECHTER	???	DANIEL HECHTER	服装	
132	MELCHNER	???	MELCHNER	服装	
131	mister	???	mister	服装	
130	s.t.dupont	???	s.t.dupont	服装	
137	Gormiti	???	Gormiti	儿童母婴	
136	FENGFEI-Z	???	FENGFEI-Z	服装	
135	LONDON FOG	???	LONDON FOG	服装	
134	AEEIKO	???	AEEIKO	服装	
494	谭木匠	谭木匠	???	其他	
495	茶大爷	茶大爷	???	餐饮	
496	品尚味烟酒屋	品尚味烟酒屋	???	餐饮	
497	履行者	履行者	???	体育	
490	四号厅	四号厅	???		
491	食通天美食广场	食通天美食广场	???	餐饮	
492	华润堂	华润堂	???	其他	
493	亿莎	亿莎	???	其他	
24	WHITE COLLAR	???	WHITE COLLAR	服装	
25	OLIVER GRANT	???	OLIVER GRANT	服装	
26	SONG OF SONG	???	SONG OF SONG	服装	
27	卡拉	卡拉	???	服装	
20	KORADIOR	???	KORADIOR	服装	
21	雅莹	雅莹	???	服装	
22	阁兰秀	阁兰秀	???	服装	
23	PORTS	???	PORTS	服装	
927	Coach	???	Coach	服装	
28	Mozen	???	Mozen	服装	
29	YINER	???	YINER	服装	
407	CHANEL	???	CHANEL	个护化妆	
406	CERRUTI 1881	???	CERRUTI 1881	其他	
405	英吉利那	英吉利那	???	儿童母婴	
404	I-Baby	???	I-Baby	儿童母婴	
403	中国联通	中国联通	???	电器	
402	芙儿优	芙儿优	???	儿童母婴	
401	SAMSUNG	???	SAMSUNG	电器	
400	手机	手机	???	电器	
933	布兰施男鞋	布兰施男鞋	???	服装	
932	L'OCCITANE	???	L'OCCITANE	个护化妆	
931	GHRISDIEN DENY	???	GHRISDIEN DENY	服装	
930	BOSS SUNWEN	???	BOSS SUNWEN	服装	
937	ENZO	???	ENZO	其他	
452	liven	???	liven	儿童母婴	
409	AUPRES	???	AUPRES	个护化妆	
408	JurLique	???	JurLique	个护化妆	
453	BOSE	???	BOSE	电器	
1028	西贝伦	西贝伦	???	服装	
758	mjuka	???	mjuka	服装	
1018	蓝豹	蓝豹	???	服装	
379	SOSSE	???	SOSSE	服装	
378	Massalati	???	Massalati	服装	
829	姑姑宴	姑姑宴	???	餐饮	
828	Paw in Paw	???	Paw in Paw	服装	
1060	方太	方太	???	电器	
371	KISSCAT	???	KISSCAT	服装	
370	蹀愫	蹀愫	???	服装	
373	红香枫	红香枫	???	服装	
372	Dunnu	???	Dunnu	服装	
375	AHNSIL	???	AHNSIL	服装	
374	mihana	???	mihana	服装	
377	GAOPIN Golf	???	GAOPIN Golf	体育	
376	LANCY	???	LANCY	服装	
708	NAIL STATION	???	NAIL STATION	个护化妆	
709	寿师傅餐厅	寿师傅餐厅	???	餐饮	
704	海辰贝贝	海辰贝贝	???	儿童母婴	
705	东方爱婴早教中心	东方爱婴早教中心	???	其他	
706	亚惠美食广场	亚惠美食广场	???	餐饮	
707	西树工房	西树工房	???	餐饮	
700	Peacebird	???	Peacebird	服装	
