pid	cnname	enname
344	???	SULTANA	
345	英纳格	Enicar	
346	汉米尔顿	Hamilton	
347	西铁城	Citizen	
340	施华洛世奇	SWAROVSKI	
341	欧米茄	OMEGA	
342	美度	MIDO	
343	梅花	TITONI	
810	陆宝	LUPAO	
811	???	Yvonne	
812	泰普尔	Tempur	
813	无印工坊	???	
348	爱骏达	???	
349	依波路	ERNEST BOREL	
816	巴宝莉	Burberry	
817		UGG	
719	湘怡人	???	
718	乐食派麻辣香锅	???	
717	渝乡人家	???	
716	汤城小厨	???	
715	乾杯	???	
714	汉拿山		
713	鱼匠	???	
712	民族印象	???	
711	???	37°Love	
710		AIBI	
915	捷夫	jaff	
914	双安黄金	???	
917	东赢日盛	???	
1069	???	ANGELO NARDELLI	
736	院落	???	
916	尚氏珠宝	???	
1061	三星手机	???	
911	芮雅	???	
1063	阿里斯顿	ARISTON	
1062	雪莲		
1065	见现冰激凌	???	
1064	权味	???	
1067	沙驰	Satchi	
910	莫奈	MONET	
-1	龟龟侠		
913	???	WEEKEND by MaxMara	
298	玛丝菲尔	Marisfrolg	
299	???	MICHELLE MOISSAC	
296	伟士	WISH	
297	菲妮迪	Finity	
294	沐兰	Moreline	
295	???	menglong	
292	依瑶	ELINACREATEUR	
293	声雨竹	???	
290	莱姿	LAICHY	
291	诗影	???	
591	华润置地展台	???	
590	甜心甜	???	
593		mind bridge	
592	新宇亨得利	???	
595	北面	THE NORTH FACE	
594	哈根达斯	Haagen-Dazs	
597	???	AJIDOU	
596	热风	hotwind	
195	罗马世家		
598	???	dragon star	
197	报喜鸟	Saint Angelo	
196	皮尔卡丹	pierre cardin	
191	提籁雅	ARTILIVI	
190	依娜	???	
193	???	Villeroy&Boch	
192	罗卡芙		
270	???	treksta	
271	家庭日常用品	???	
272	宝明堂	???	
273	优之良品		
274	生命阳光	sunlife	
275	启泰药业	???	
276	集品堂		
277	食尚森活	Delicious life	
278	上品堂		
279	玛丽亚.古琦	MARJA KURKI	
738	???	CK Acc.	
524	沃尔玛	???	
525	茶马云南	chama.yn	
526	韩银尚	???	
527	耐尔		
520	中国黄金	ChinaGold	
521	汤美希菲格	???	
522	李维斯童装	levis	
523	凹凸		
1014	???	Conino Lambozghini	
1015	夏利豪箱包	CHARRIOL	
599	珍仕菓	???	
1017	爵士丹尼	a.Jesdani	
528	???	ruke house	
529	头彩	???	
994	吉普卡丁车	JEEP	
1013	???	ICICLE	
1025	赛吉琥珀	???	
449	博朗	BRAUN	
448	靓美婷	???	
443	???	ZADA NINE	
442	拉维妮娅	LAVINIA CLUB	
441	???	silhouette labelle	
440	茜子	She's	
447	圣大保罗	santa barbara polo	
446	???	LANYOUTY	
445	???	Lavinia	
444	雾道	CANTOMOTTO	
108	爱步	ECCO	
109	诺诗兰	NORTHLAND	
102	李宁	li-ning	
103	热浪	HEATWAVE	
100	恒源祥	hengyuanxiang	
101	速比涛	Speedo	
106	奥索卡	Ozark	
107	探路者	Toread	
104	浩沙	hosa	
105	颂拓	SUUNTO	
902	橘滋	Juicy Couture	
903	生活素材	???	
39	???	Season Lano	
38	虎都	FORDOO	
906		Kipling	
907	???	KLOVA	
904	美术馆	???	
905	米莲诺	mileno	
33	吉普卡丁车	Jeep	
32	庄子	ZORANZI	
31	靓诺	???	
30	哥弟	GIRDEAR	
37	暇步士	Hush Puppies	
36	博斯绅威箱包	BOSSsunwen	
35	林宝坚尼	LoninoLamborghini	
34	沙驰	SATCHI	
641	七匹狼	SEPTWOLVES	
640	芝麻开门		
643	字里行间	???	
642	必胜客	???	
645	纳维凯尔	navigare	
644	五彩凤	???	
438	厚木	ATSUGI	
439	???	DELUXE AND VINCI	
436	嘉宝	garbath	
437	???	mara sakura	
434	???	Gabor	
435	拿拉贝路丝	???	
432	泰丝兰	trasparenze	
433	玫尔美	???	
430	鹦鹉	Ara	
431	思加图	STACCATO	
1002	???	JNBY by JNBY	
339	贝印	KAI	
338	稻香村	daoxiangcun	
335	极草	???	
334	康维他	Comvita	
337	???	Leonidas Kestekides	
336	林银杏	???	
331	私房小厨	???	
330	脉葆野山菌	???	
333	依诗家		
332	???	DIAN	
89	面爱面	???	
744	???	7-ELEVEN	
1000		CK Jeans	
