PID	Displayname	Tag1	Tag2	Phone	Story
1010170600010000	海洋兄弟	餐饮	快餐	01084297032	
1010170600010001	川江一号香锅	餐饮	快餐		
1010170600010002	正一味	餐饮	快餐	01058301869	正一味于1999年登陆中国，并创立北京市正一味快餐管理有限公司。目前正一味已具有一个较为完善的经营管理体系，并建立了全新的CIS系统。公司本着“健康，诚信”的企业精神，以美味而高品质的食品，稳定而优质的服务和优雅的就餐环境，为顾客创造了全新的生活方式。
1010170600010003	和合谷	餐饮	快餐	01084150955	北京和合谷餐饮管理有限公司是一家坚持探索烹饪工业化为己任，以“良心品质”服务顾客、回报社会的中式快餐连锁企业。
1010170600010004	宝岛眼镜	个护化妆	个人护理	(010)64603340	宝岛眼镜拥有30多年历史。一直以来，秉持着“用专业的心，做专业的事”理念，不断引进国际级视光高科技产品，以及和国家级重点高校合作，进行专业人才培训，并积极参与国家质量部门检测，落实高质量的商品分析，真正创造企业、政府高校和视光产业，三方面纵横一体的企业
1010170600010005	屈臣氏	个护化妆	个人护理		屈臣氏是和记黄埔有限公司旗下屈臣氏集团以保健及美容为主的一个品牌。屈臣氏集团（香港）有限公司（A.S. Watson Group (Hong Kong) Ltd.，)创建于1828年，是和记黄埔旗下的国际零售及食品制造机构，业务遍布34个地区，共经营超过8400间零售商店，聘用98,000名员工。集团涉及的商品包括有保健产品、美容产品、香水、化妆品、食品、饮品、电子产品、洋酒及机场零售业务。
1010170600010006	呷哺呷哺	餐饮	快餐	(010)84150433	呷哺呷哺（Xiā Bǔ Xiā Bǔ）餐饮管理有限公司始创于1998年，是一家外商投资、国内首创、最大规模的吧台式涮锅连锁企业。公司三部设在北京大兴区孙村工业开发区，占地30亩。由综合办公楼、生产加工基地、研发中心、中央厨房、配送中心以及各职能部门组成。截至目前，呷哺呷哺公司已在北京、天津发展门店数量超过60家，计划2009年分店数量超过100家。
1010170600010007	温莎	房租	鞋		
1010170600010008	卡萨纯银	其他	珠宝工艺品		
1010170600010009	阿拉浓	餐饮	快餐	(010)84269089	
1010170600010010	NAIL STATION	个护化妆	个人护理	(010)84150884	
1010170600010011	寿师傅餐厅	餐饮	快餐	(010)84297185	
1010170600010012					
1010170600010013	AIBI	体育	体育用品		
1010170600010014	37°Love	服装	女装		37°Love，创立于2005年，时尚女装界“极简派时尚”的倡导者和领头人，追求优雅并简单套搭配的完美中性化剪裁，讲究精致的质感和简单的曲线。37°Love主营品类包括服饰精品——时尚女装、鞋帽箱包、潮流饰品；女士内衣—精品内衣、性感小夜衣、泳装、保暖衣、个性家居服、贴身小件；女性生活优品—女士香水、化妆品等延续着在洗练风格中所透露出的时尚个性气质，为现代都市女性提供一站式时尚优品享受。
1010170600010015					
1010170600010016	民族印象	服装	女装		以民族服装与时尚饰品完美结合为理念，让消费者成为民族时尚达人。
1010170600010017	Phiten	其他	家纺		
1010170600010018	亚惠美食广场	餐饮	快餐		
1010170600010019	西树工房	餐饮	快餐	(010)84150433	
1010170600010020	Mr.Bean	餐饮	快餐		
1010170600010021	GOMAX果吧	餐饮	冷饮		
1010170600010022	弹丸滋地	餐饮	快餐	18311015587	
1010170600010023	正负二度C环保生活馆	其他	家纺		
1010170600010024	恒永奢饰品护理中心	个护化妆	个人护理		
1010170600010025	海底捞火锅	餐饮	正餐	(010)84150958	海底捞成立于1994年，是一家以经营川味火锅为主、融汇各地火锅特色为一体的大型跨省直营餐饮品牌火锅店，全称是四川海底捞餐饮股份有限公司。在简阳、北京、上海、沈阳、天津、石家庄、西安、郑州、南京、广州、深圳、合肥、武汉等城市有直营连锁餐厅。
1010170600010026	玩具反斗城	儿童母婴	儿童用品	(010)84297072	玩具反斗城（英语：Toys "R" Us，在其标志中的写法是Toys "Я" Us）是全球最大的玩具及婴幼儿用品零售商，通过整合各类品牌，向消费者提供全方位及一站式的购物体验。
1010170600020000					
1010170600020001					
1010170600020002	抓宝格子店	其他	珠宝工艺品		
1010170600020003	悦指间	个护化妆	个人护理	(010)84297195	
1010170600020004					
1010170600020005					
1010170600020006					
1010170600020007					
1010170600020008					
1010170600020009					
1010170600020010					
1010170600020011					
1010170600020012	益乐康养生会馆	个护化妆	个人护理		
1010170600020013	salon Rex	个护化妆	个人护理	(010)56198585	
1010170600020014	特百惠	其他	家纺		特百惠公司（Tupperware Brands Corporation），塑料保鲜容器厂家，总部在美国。目前，特百惠公司已经在全球设有70多家分公司，并在美国、法国、澳大利亚、日本、韩国、中国等15个国家设有分厂。
1010170600020015	新源茗茶	其他	保健品		
1010170600020016					
1010170600020017					
1010170600020018	阿米雪	餐饮	零食		
1010170600020019	八马茶业	其他	保健品	(010)57198998	八马茶业有限公司源于百年前的“信记”茶行，掌门人王文礼先生是非物质文化遗产代表性传承人，也是铁观音发现者王士让的第十三代传人。公司旗下有安溪八马茶业有限公司（为公司总部并具体负责产品生产和外销）、深圳八马茶业连锁有限公司（负责全国自营连锁）、厦门八马茶业有限公司（负责加盟及福建自营）。目前，公司参与管理茶园基地50000多亩，现有西坪和龙门两个加工厂，总建筑面积6万平方米，年加工能力6000吨，其中龙门加工厂是目前亚洲最具现代化的乌龙茶铁观音精制加工厂。
1010170600020020	钱库				
1010170600020021	招财猫				
1010170600020022	哈姆天空	其他	宠物		
1010170600020023	潮汕渔家大排档	餐饮	快餐	(010)66080101	
1010170600020024	食其家	餐饮	正餐	(010)84150894	食其家，发源于日本。中国上海、江苏、浙江、北京、天津、湖北、广东等直营店。菜品分为牛丼、咖喱、丼系列、拉面、套餐、配菜等系列。
1010170600020025	陕味食族	餐饮	正餐	(010)84150852	
1010170600020026	BHG精品超市	超市	超市		北京华联集团投资控股有限公司（简称北京华联集团）是商务部重点扶持的十五家全国大型零售企业之一，也是国际百货协会唯一的中国零售企业会员。北京华联集团旗下拥有两家上市公司和多家控股公司，业态涉及大型综合超市、精品超市、百货店及商业地产等，截止2007年底，在全国23个省市、自治区的35个重点城市拥有80多家万米以上大型店铺。北京华联集团建立了覆盖全国的连锁零售网络，拥有中国一流的商业管理资源、商品资源、品牌资源和人才资源。
1010170600020027	None				
1010170600020028	None				
1010170600020029	None				
1010170600020030	None				
1010170600020031	None				
1010170600020032	None				
1010170600020033	None				
1010170600020034	None				
1010170600030000	COSTA COFFEE	餐饮	咖啡店	(010)84268316	1971年，在伦敦Lambeth，Costa兄弟Bruno和Sergio创立了他们著名的咖啡豆烘焙工场，将传统的意式烘焙法加以缓慢处理，制作出令人兴奋的咖啡，供应本地餐饮机构与意式咖啡专营店。
1010170600030001	CPU				
1010170600030002	Minnetonka	服装	鞋		MINNETONKA（迷你唐卡） 品牌的全称是：MINNETONKA MOCCASIN，第二个单词 MOCCASIN 是英文“印第安软皮鞋”的意思，在今天是穿着舒适的软皮鞋的代称。而MINNETONKA 正是软皮鞋的第一品牌。
1010170600030003	CK Acc.	服装	箱包		
1010170600030004	D'ZZIT	服装	女装		d'zzit是DAZZLE的姐妹品牌，继成功打造耀眼夺目的DAZZLE与DIAMOND DAZZLE之后，地素时尚股份有限公司旗下又一个新锐的潮流时尚品牌——d'zzit。d'zzit来自欧陆设计大国荷兰，品牌设计师凭其跳跃的美学创意，打造出多样的时髦单品。 
1010170600030005	GUESS	服装	箱包		成立于1981年的GUESS（盖尔斯），最初是从牛仔起家，一心向往美国风情的Marciano四兄弟，从法国南部来到这块自由天堂，却碰上了美国服饰业的萧条时期，可是，他们首次推出的「梦露式」紧身牛仔裤却在一夕之间销售一空，于是GUESS品牌正式成立。
1010170600030006	Catalog	服装	女装		
1010170600030007	GAP	服装	男装		GAP（盖璞）是美国最大的服装公司之一。1969年创建时，只有屈指可数的几名员工。而现在，它是拥有五个品牌（GAP、Banana Republic、Old Navy、Piperlime、Athleta )、3200多家连锁店、年营业额超过130亿美元、员工16.5万人的跨国公司。在说McFashion的时候，很难回避GAP。这个一度在全世界风靡一时的平价时装品牌，当年与很多明星联系在一起，比如莎朗·斯通穿着它去参加奥斯卡颁奖晚会；而另外一个让该品牌如此出名的竟然是莱温斯基、那件著名的蓝裙子，也是GAP的。
